Date,Unit Labour Cost Of Overall Economy,Unit Labour Cost Of Goods Producing Industries,Unit Labour Cost Of Manufacturing,Unit Labour Cost Of Construction,Unit Labour Cost Of Utilities,Unit Labour Cost Of Other Goods Industries,Unit Labour Cost Of Services Producing Industries,Unit Labour Cost Of Wholesale & Retail Trade,Unit Labour Cost Of Wholesale Trade,Unit Labour Cost Of Retail Trade,Unit Labour Cost Of Transportation & Storage,Unit Labour Cost Of Accommodation & Food Services,Unit Labour Cost Of Accommodation,Unit Labour Cost Of Food & Beverage Services,Unit Labour Cost Of Information & Communications,Unit Labour Cost Of Finance & Insurance,"Unit Labour Cost Of Real Estate, Professional Services And Administrative & Support Services",Unit Labour Cost Of Real Estate,Unit Labour Cost Of Professional Services,Unit Labour Cost Of Administrative & Support Services,Unit Labour Cost Of Other Services Industries,Unit Labour Cost Of Public Administration & Defence,Unit Labour Cost Of Education,Unit Labour Cost Of Health & Social Services,"Unit Labour Cost Of Arts, Entertainment & Recreation",Unit Labour Cost Of Other Services - Others
2008-01-01,92.3,96.1,108.8,81.7,78.9,102,91.6,109,115,72.6,75.3,81.5,85.3,80.1,80.9,102.7,92.6,80.8,83.2,112.3,82.4,74.7,83.9,68.6,113,88.7
2007-01-01,89.9,86,96.6,84.1,73.8,93,92.1,106,113.1,65.3,76.8,74.9,74.4,76.7,78.2,114.2,94.3,93.3,79.8,121.6,79.9,73.7,82.3,65,104.3,85.4
2006-01-01,85.1,82.9,93.1,88.5,66.5,87.3,87.2,98.6,104,64.1,77,70.9,71.3,72.2,74.1,103.5,91,87.4,76.8,123.1,75,68.5,77.5,61.1,92.3,82.8
2005-01-01,83.9,85.3,95.8,89.5,68.3,90.3,84.8,98.4,103.9,62.7,75.4,71.3,70.1,73.7,71.6,100,82.6,78,72.4,106.8,74,65.2,77.4,60.6,95,81.7
2004-01-01,83.6,87.8,98.6,87.1,73.9,93.1,83.6,99.2,,,74.5,76.9,,,65.4,88.3,81.3,,,,75.2,,,,,
2003-01-01,87.6,95.2,107.7,86.1,76.7,91.7,86.9,115.8,,,80.7,82.5,,,66.5,85.6,78.5,,,,74,,,,,
2002-01-01,90.7,99.2,112.2,85.9,71.6,89.4,90.3,125.3,,,78.1,75.4,,,70.6,96,78.7,,,,74.4,,,,,
2001-01-01,94.2,108.6,124.1,83.6,76.3,78.5,91.9,128.7,,,78.8,75.4,,,72.3,95.3,85.1,,,,74.4,,,,,
2000-01-01,89.9,97.3,105.5,87.8,75.1,70.4,90.7,121.4,,,80.9,70,,,71.8,101.8,85,,,,72.8,,,,,
1999-01-01,88.4,101.5,108.8,90.1,67.9,72.1,87,129.8,,,77.3,74.6,,,59.9,92.8,75.8,,,,70.2,,,,,
1998-01-01,94.8,116.2,128.6,91.2,65,75.8,90.3,148.6,,,83.5,79.3,,,64.7,88.7,70.2,,,,73.5,,,,,
1997-01-01,90.6,116.8,130.1,90.2,71.6,71.1,83.5,134.7,,,82.6,73.3,,,68.4,68.6,66.4,,,,72.8,,,,,
1996-01-01,90.1,114.4,128.8,88.1,69.6,68.7,84,136.9,,,82.7,71,,,71.4,67.9,65.7,,,,72.6,,,,,
1995-01-01,88.1,110.7,126,85.9,75.1,67.1,82.9,129.6,,,83.7,67.1,,,63.7,65.9,66.9,,,,73,,,,,
1994-01-01,85.6,111.2,127.9,83.7,79.1,63.9,79.3,131.4,,,80.3,64.1,,,59.1,59.4,60,,,,72.1,,,,,
1993-01-01,83.9,114.2,131.7,88.2,74,59.6,76.1,135,,,74.7,61.5,,,59.5,52.8,57.2,,,,68.5,,,,,
1992-01-01,83.8,116.2,135.4,87.7,72.3,60,75.6,143.7,,,73.2,59.7,,,61.9,49.1,52.2,,,,67.9,,,,,
1991-01-01,81,110.6,126.7,90.7,73.6,49.8,74,122.2,,,73.6,59.8,,,73.3,51.2,51.3,,,,67,,,,,
1990-01-01,76,103.7,119.3,86.5,73.9,49.5,69.5,114.1,,,66.9,57.5,,,73.3,49,45.7,,,,64.8,,,,,
1989-01-01,71.8,97.5,110.3,84,75.7,53.5,66.2,103.5,,,64.3,52,,,83.5,51.1,38,,,,62.4,,,,,
1988-01-01,67.1,89.3,101.3,74.1,74.7,48.9,62.7,96.3,,,57,51.2,,,78.7,50.5,36,,,,58.3,,,,,
1987-01-01,65.5,87.9,97.7,72.3,72.4,49.3,61.1,98.2,,,57.5,54.1,,,81.5,45.8,35.2,,,,54.4,,,,,
1986-01-01,69.4,91.4,103.5,66.3,81.8,52.9,65.4,103.7,,,56.3,58.2,,,86.7,51.9,39.1,,,,56.7,,,,,
1985-01-01,76.2,102.2,121.4,63.1,97.2,65.3,70.7,115.3,,,61.6,60.9,,,104.6,54.6,40.4,,,,62.2,,,,,
1984-01-01,76.2,101.8,114.1,67.6,93.5,63.2,70.2,107.4,,,59.3,58.4,,,110.6,62.9,43.5,,,,58.1,,,,,
1983-01-01,74,96.9,107.3,66.3,92,61.1,68.4,110.1,,,65.1,51.2,,,108.5,56.7,36.7,,,,55.4,,,,,
1982-01-01,69.1,92.1,103.4,64.2,95.3,52.2,62.6,100.8,,,63.2,37.2,,,103.5,52.3,32,,,,52.3,,,,,
1981-01-01,60.6,79.3,90,60.1,79.9,37.9,55.7,86.3,,,59.5,28.3,,,93.6,43.4,33,,,,46.3,,,,,
1980-01-01,55.5,71.1,83.4,51,75.4,31.8,51.4,71.4,,,58.9,20.9,,,100,46.8,28.3,,,,41.9,,,,,
